3227,二本松市,イベント情報,,二本松シティＷｉ－Ｆｉ,ニホンマツシティワイファイ,37.58474993,140.4311326,　二本松市では、無料でインターネットを利用できる無線ＬＡＮ『二本松シティＷｉ－Ｆｉ』のサービスを開始しました。<br>　スマートフォンやタブレットなどで登録をすれば、どの端末からでも利用することができます。<br><br>【設置箇所　提供開始３月～】<br>◎市民交流センター<br>　・１階ＥＶホール～テナントブース付近<br>　・２階みんなの広場付近<br>◎県立霞ヶ城公園<br>　・箕輪門付近、三の丸跡地付近<br>◎市役所本庁舎<br>　・１階市民ホール付近<br>◎安達支所<br>・１階入口ホール付近<br>◎岩代支所<br>　・１階入口ホール付近<br>◎東和支所<br>　・１階入口ホール付近<br>【設置箇所　提供開始４月～】<br>（国・県による設置）<br>◎道の駅「安達」智恵子の里(上・下線)<br>◎道の駅さくらの郷<br>◎道の駅ふくしま東和<br>,0243-23-1111,964-8601,二本松市金色４０３－１,,,,
3235,いわき市,イベント情報,イベント,第3回WBSC U-15 ベースボールワールドカップ2016 in いわき,,37.0178691,140.860591,　世界野球・ソフトボール連盟（WBSC）の主催により、隔年で開催される、15歳以下の各国・地域代表選手で競われる野球の国際大会。日本での開催は初めてであり、今回の開催で3回目を数える。<br><br><参加国>12か国<br><br><会場><br>いわきグリーンスタジアム、南部スタジアム、平野球場,0246-22-7032,,いわき市内の野球場,,,2016年7月29日（金）～　8月7日（日）　10日間,
3239,いわき市,イベント情報,,ままカフェ＠いわき,,37.05346897,140.8988847,<br>ままカフェは避難先から戻ってきたママ達の居場所です。<br>「ふくしまに戻ったときに、<br>様々な悩みを安心して話せる場所があったらいいなをカタチにしました」<br><br>避難先から戻ってきたけど、福島での生活・・・みんなはどうしているのかな？？？<br>☆子どもの運動不足が心配されているけど子どもの遊び場ってどうしてる？<br>☆食材はどうやって選んでいる？放射能も心配だけど添加物も心配だよね・・・。<br>☆ママ友に放射線の話をしたら心配しすぎ！って思われるかな・・・。　<br>ままカフェではこんな話題が出ています。　<br>ゆっくりお茶を飲みながらのんびり話したり・・・じっくりお話することもできます。<br>その日の気分で、自由に時間を過ごしていただけます。避難中のママの参加もできます。<br><br>日時：毎月第4火曜日　10時～12時<br>場所：チャイルドトータルサポートサービスWendyいわき　（いわき市平字正内町45-６）<br>参加費：無料（お菓子と飲み物200円・お持ち込みもOKです）<br>その他：事前申し込みは不要です<br>お子さんと一緒に参加の方はお子さんの飲み物とお菓子は各自でご準備ください<br>問合せ先：024－573－0150　ふくしま子ども支援センター,024-573-0150（ふくしま子ども支援センター）,,,,　　　　　　　,,
3251,福島市,イベント情報,子育て支援,清水学習センター　図書室,しみずがくしゅうせんたー　としょしつ,37.78094722,140.4568112,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第３木曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしポケット★<br>【日　時】　毎月第３土曜日　１４：００～<br>【対　象】　４歳から小学生まで<br>【内　容】　絵本・紙芝居の読み聞かせやブックトークなどをおこないます,024-557-7400（図書室担当者）,960-8252,福島市御山字松川原５－１,,,,
3252,福島市,イベント情報,子育て支援,もちずり学習センター　図書室,もちずりがくしゅうせんたー　としょしつ,37.7728333,140.5003211,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第２水曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしバスケット★<br>【日　時】　毎月第４土曜日　１４：００～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し、絵本の読み聞かせや工作をおこないます,024-534-2470（図書室担当）,960-8204,福島市岡部字高畑４６,,,,
3254,福島市,イベント情報,子育て支援,飯坂学習センター　図書室,いいざかがくしゅうせんたー　としょしつ,37.82739124,140.4471534,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第２木曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしひろば★<br>【日　時】　毎月第１土曜日　１１：００～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し、絵本の紹介や読み聞かせをおこないます,024-531-6551（図書室担当者）,960-9291,福島市飯坂字銀杏６－１１,,,,
3255,福島市,イベント情報,子育て支援,北信学習センター　図書室,ほくしんがくしゅうせんたー　としょしつ,37.79657175,140.4793078,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第１水曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしのとびら★<br>【日　時】　毎月第２土曜日　１４：００～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し、絵本の読み聞かせや工作をおこないます,024-544-1115（図書室担当者）,960-0102,福島市鎌田字中江１,,,,
3256,福島市,イベント情報,子育て支援,"吾妻学習センター　図書室			",あづまがくしゅうせんたー　としょしつ,37.76011442,140.4194677,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第４木曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしのにじ★<br>【日　時】　毎月第３土曜日　１０：３０～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し絵本の読み聞かせ・紙芝居などをおこないます,024-526-3353（図書室担当）,960-8057,福島市笹木野字折杉４１－１,,,,
3257,福島市,イベント情報,子育て支援,"蓬莱学習センター　図書室			",ほうらいがくしゅうせんたー　としょしつ,37.6982786,140.4728732,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第４木曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★おはなしのくれよん★<br>【日　時】　毎月第２土曜日　１０：３０～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し、絵本の紹介や読み聞かせをおこないます,024-549-1821（図書室担当者）,960-8157,福島市蓬莱四丁目１－２,,,,
3258,福島市,イベント情報,子育て支援,松川学習センター　図書室,まつかわがくしゅうせんたー　としょしつ,37.65828413,140.4681578,学習センター内の図書室では乳幼児から<br>小学生までのお子さんを対象とした活動を行っています<br>定期活動以外にもイベントを予定しております<br>親子で参加してみてはいかがですか？<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第１木曜日　１０：３０～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、手遊び、わらべうたなどで楽しい時をすごします<br><br>★おはなしロケット★<br>【日　時】　毎月第１土曜日　１０：３０～<br>【対　象】　４歳から小学生まで<br>【内　容】　毎回テーマを設定し絵本の読み聞かせ・紙芝居・絵本の紹介をおこないます,024-567-2403,960-1241,福島市松川町字杉内３３,,,,
3259,福島市,イベント情報,子育て支援,"こむこむ　子どもライブラリー	",こむこむ　こどもだいぶらりー,37.75212027,140.4606074,　こむこむ館内１階にある『子どもライブラリー』では<br>小学生までのお子さんを対象とした絵本の読み聞かせ<br>などのイベントを開催しています<br>　主に週末開催されるイベントが多くありますので、<br>ご家族みなさまで参加いただけます<br><br>☆おひざにだっこのおはなし会☆<br>【日　時】　毎月第１木曜日　１１：００～<br>　　　　　　毎月第３日曜日　１１：００～<br>【対　象】　３歳までの乳幼児と保護者<br>【内　容】　絵本の読み聞かせ、てあそび、わらべうたなどで楽しい時をすごします<br><br>★４才からのおはなし会★<br>【日　時】　毎月第２日曜日　１４：２０～<br>【対　象】　４才から<br>【内　容】　毎回テーマを設定し、絵本の読み聞かせ・てあそび・わらべうたなどで楽しい時をすごします<br><br>☆小学生からのおはなし会☆<br>【日　時】　毎月第１日曜日　１４：２０～<br>【対　象】　小学生から<br>【内　容】　テーマにそってブックトークや絵本の読み聞かせをします<br><br>※その他月ごとにイベントを開催しております♪　<br>詳細は上記ＵＲＬから福島市ＨＰで、もしくは市政だよりをご覧ください,024-526-4200（福島市子どもライブラリー）,960-8044,福島市早稲町１番１号,,,,
3363,川内村,イベント情報,室内型村民プール,もりたろうプール,もりたろうぷーる,37.33143604,140.8151579,川内村民が待ちに待った川内村室内型村民プール「もりたろープール」のオープンセレモニーが終了し、2016年4月4日から供用が開始いたしました。<br>皆様の来場をお待ちしております。<br><br>●料金：1回使用　一般500円、60歳以上300円、小・中・高校生200円<br>（年間使用券、半年使用券、回数券(12枚)、冬季(12月～3月)使用券があります。）,0240-23-5861,979-1202,川内村大字下川内字宮渡１８－１,,,,9時30分～20時30分　(最終受付19時30分)<br><br>●休館日は毎週火曜日　(その日が休日にあたるのときは、その翌日)
3413,いわき市,イベント情報,,住まいと暮らしの再建相談会（平）,,37.05246917,140.8897984,『住まいと暮らしの再建相談会』を開催します！<br><br>住宅再建や生活再建に関する、あらゆる相談に対応します！<br><br>　市では、一時提供住宅等に入居されている方や震災により生活等への影響があった市民の皆様に対し、ファイナンシャル・プランナー、建築士、住宅金融支援機構及び市が連携して、資金計画や人生設計の総合的なアドバイスをはじめ、住まいづくりのポイント、災害復興住宅融資制度の案内、返済シミュレーションの作成、利用可能な各種支援制度、特例措置の紹介など、あらゆる相談ニーズに対応する「住まいと暮らしの再建相談会」を開催します。　<br><br>1　対象者　　震災により生活への影響があった市民の方<br>　　　　　　（被害の内容・程度は問いません）<br><br>2　日程　　平成28年7月23日（土)、8月6日（土)、9月25日（日）、10月29日（土）、12月17日（土）、平成29年１月21日（土）、2月５日（日）、３月18日（土）<br> 注：個別相談会の開始時間は、午前10時、午後1時、<br> 午後3時です。（所要時間は約90分）<br><br>3　場所　　いわき市文化センター　<br><br>4　定員　　先着9組（要予約）<br><br>5　参加費　 無料<br><br>6　申込方法　 開催日の3日前までに次のいずれかの方法によりお申し込みください。<br><br> 　？電話（電話番号：0246-22-7437）<br><br> 　？メール<br>　     seikatsu-sodankai@city.iwaki.fukushima.jp<br><br> 　？郵送またはファクス（ファクス番号：0246-22-7468）<br> 　<br>    注：メール、郵送またはファクスで申し込みされる場合は、希望日時、氏名、現住所及び被災時の住所、電話番号、り災判定区分、相談内容を記入してください。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　<br><br>7　その他　　復興庁による「住まいの復興給付金」の申請相談会も同時開催します。（予約不要）<br>,,,,,,7月23日（土）、８月６日（土）、9月25日（土）、10月29日（土）、12月17日（土）、平成29年１月21日（土）、2月５日（日）、３月18日（土）,個別相談会の開始時間は、午前10時、午後1時、午後3時です。（所要時間は約90分）<br>
3414,いわき市,イベント情報,,住まいと暮らしの再建相談会（小名浜）,,36.95410103,140.8948839,『住まいと暮らしの再建相談会』を開催します！<br><br>住宅再建や生活再建に関する、あらゆる相談に対応します！<br><br>　市では、一時提供住宅等に入居されている方や震災により生活等への影響があった市民の皆様に対し、ファイナンシャル・プランナー、建築士、住宅金融支援機構及び市が連携して、資金計画や人生設計の総合的なアドバイスをはじめ、住まいづくりのポイント、災害復興住宅融資制度の案内、返済シミュレーションの作成、利用可能な各種支援制度、特例措置の紹介など、あらゆる相談ニーズに対応する「住まいと暮らしの再建相談会」を開催します。　<br><br>1　対象者　　震災により生活への影響があった市民の方<br>　　　　　　（被害の内容・程度は問いません）<br><br>2　日程　　平成28年8月20日（土）<br> 注：個別相談会の開始時間は、午前10時、午後1時、<br> 午後3時です。（所要時間は約90分）<br><br>3　場所　　小名浜公民館（小講堂）<br><br>4　定員　　先着9組（要予約）<br><br>5　参加費　 無料<br><br>6　申込方法　 開催日の3日前までに次のいずれかの方法によりお申し込みください。<br><br> 　？電話（電話番号：0246-22-7437）<br><br> 　？メール<br>　     seikatsu-sodankai@city.iwaki.fukushima.jp<br><br> 　？郵送またはファクス（ファクス番号：0246-22-7468）<br> 　<br>    注：メール、郵送またはファクスで申し込みされる場合は、希望日時、氏名、現住所及び被災時の住所、電話番号、り災判定区分、相談内容を記入してください。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　<br><br>7　その他　　復興庁による「住まいの復興給付金」の申請相談会も同時開催します。（予約不要）<br>,,,,,20160820,8月20日ー8月20日,個別相談会の開始時間は、午前10時、午後1時、午後3時です。（所要時間は約90分）<br>
3415,いわき市,イベント情報,,住まいと暮らしの再建相談会（勿来）,,36.90651341,140.7924128,『住まいと暮らしの再建相談会』を開催します！<br><br>住宅再建や生活再建に関する、あらゆる相談に対応します！<br><br>　市では、一時提供住宅等に入居されている方や震災により生活等への影響があった市民の皆様に対し、ファイナンシャル・プランナー、建築士、住宅金融支援機構及び市が連携して、資金計画や人生設計の総合的なアドバイスをはじめ、住まいづくりのポイント、災害復興住宅融資制度の案内、返済シミュレーションの作成、利用可能な各種支援制度、特例措置の紹介など、あらゆる相談ニーズに対応する「住まいと暮らしの再建相談会」を開催します。　<br><br>1　対象者　　震災により生活への影響があった市民の方<br>　　　　　　（被害の内容・程度は問いません）<br><br>2　日程　　平成28年11月27日（日）<br> 注：個別相談会の開始時間は、午前10時、午後1時、<br> 午後3時です。（所要時間は約90分）<br><br>3　場所　　勿来市民会館（大会議室）<br><br>4　定員　　先着9組（要予約）<br><br>5　参加費　 無料<br><br>6　申込方法　 開催日の3日前までに次のいずれかの方法によりお申し込みください。<br><br> 　？電話（電話番号：0246-22-7437）<br><br> 　？メール<br>　     seikatsu-sodankai@city.iwaki.fukushima.jp<br><br> 　？郵送またはファクス（ファクス番号：0246-22-7468）<br> 　<br>    注：メール、郵送またはファクスで申し込みされる場合は、希望日時、氏名、現住所及び被災時の住所、電話番号、り災判定区分、相談内容を記入してください。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　<br><br>7　その他　　復興庁による「住まいの復興給付金」の申請相談会も同時開催します。（予約不要）<br>,,,,,20161127,11月27日－11月27日,個別相談会の開始時間は、午前10時、午後1時、午後3時です。（所要時間は約90分）<br><br>
3416,いわき市,イベント情報,,住まいと暮らしの再建相談会（小名浜）,,36.95425106,140.8953345,『住まいと暮らしの再建相談会』を開催します！<br><br>住宅再建や生活再建に関する、あらゆる相談に対応します！<br><br>　市では、一時提供住宅等に入居されている方や震災により生活等への影響があった市民の皆様に対し、ファイナンシャル・プランナー、建築士、住宅金融支援機構及び市が連携して、資金計画や人生設計の総合的なアドバイスをはじめ、住まいづくりのポイント、災害復興住宅融資制度の案内、返済シミュレーションの作成、利用可能な各種支援制度、特例措置の紹介など、あらゆる相談ニーズに対応する「住まいと暮らしの再建相談会」を開催します。　<br><br>1　対象者　　震災により生活への影響があった市民の方<br>　　　　　　（被害の内容・程度は問いません）<br><br>2　日程　　平成29年2月25日（土）<br> 注：個別相談会の開始時間は、午前10時、午後1時、<br> 午後3時です。（所要時間は約90分）<br><br>3　場所　　小名浜市民会館（小・中会議室）<br><br>4　定員　　先着9組（要予約）<br><br>5　参加費　 無料<br><br>6　申込方法　 開催日の3日前までに次のいずれかの方法によりお申し込みください。<br><br> 　？電話（電話番号：0246-22-7437）<br><br> 　？メール<br>　     seikatsu-sodankai@city.iwaki.fukushima.jp<br><br> 　？郵送またはファクス（ファクス番号：0246-22-7468）<br> 　<br>    注：メール、郵送またはファクスで申し込みされる場合は、希望日時、氏名、現住所及び被災時の住所、電話番号、り災判定区分、相談内容を記入してください。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　<br><br>7　その他　　復興庁による「住まいの復興給付金」の申請相談会も同時開催します。（予約不要）<br>,,,,,20170225,平成29年２月25日－２月25日,個別相談会の開始時間は、午前10時、午後1時、午後3時です。（所要時間は約90分）<br>
3417,伊達市,イベント情報,イベント情報,伊達市合併10周年記念フェスティバルだてな太鼓まつり(第32回霊山太鼓まつり）,だてしがっぺい10しゅうねんきねんふぇすてぃばるだてなたいこまつり（だい32かいりょうぜんたいこまつり）,37.81951989,140.5705794,伊達市内の太鼓団体が集結、2日目は伝統の霊山太鼓祭りを開催。<br>,024-575-1554,960-0634,伊達市保原町大泉字宮脇265,,,,
3418,伊達市,イベント情報,イベント情報,紅谷峠千本桜まつり,べにやとうげせんぼんさくらまつり,37.79804134,140.5692376,多くの桜が咲き誇る千本桜公園。桜の里親も募集しています。<br>,024-575-2111,960-0681,伊達市保原町所沢字東畑100,,,2017年4月上旬～中旬,
3421,葛尾村,イベント情報,,日赤・住民交流会（八幡屋）,にっせきじゅうみんこうりゅうかい（やはたや）,37.41420086,140.4958919,夏も本番となりましたが皆様お変わりなく過ごされていますでしょうか？<br>今年も日赤・住民交流会が八幡屋で開催されます。<br>普段ではなかなか会えない方と、おいしい食事を食べて温泉に入り楽しい１日にしましょう(^_^)<br>参加費は無料となっていますのでお誘い合わせのうえ皆さんでご参加下さい！！,,９６３－７７１３,田村郡三春町柴原字柴原８０－１,,20160830,,午前１０時３０分から<br>
3427,いわき市,イベント情報,,四倉鎮魂・復興花火大会,,37.10411351,140.9921,四倉鎮魂・復興花火大会<br><br>＜日時＞<br>平成28年8月16日（火）<br>イベント等　17時～21時<br>花火:19時30分～20時45分<br><br>＜場所＞<br>四倉海岸<br><br>＜お問い合わせ先＞<br>四倉鎮魂・復興花火大会実行委員会、四倉区長会<br>090-8254-5291<br><br>,090-8254-5291,,四倉海岸,,20160816,,17時～21時
3428,いわき市,イベント情報,,勿来海水浴場,,36.86771476,140.7890357,平成28年5月16日(月)に開催された「第1回いわき市海水浴安全対策会議」において、今年度における市内海水浴場の開設について協議を行い、「安全対策面」、「環境衛生面」、「公共工事等の影響」等について検討し、総合的に判断した結果、平成28年度については「勿来海水浴場」及び「四倉海水浴場」を開設することに決定しました。<br><br>＜開設海水浴場＞<br>勿来海水浴場、四倉海水浴場<br><br>＜開設期間＞<br>平成28年7月16日（土）から8月16日（火）（32日間）<br><br>＜開設時間＞<br>午前9時から午後4時<br><br>＜お問い合わせ＞<br>観光交流室　観光事業課 <br>電話番号：0246-22-7480<br>ファクス番号：0246-22-7581,0246-22-7480,,,,,平成28年7月16日（土）から8月16日（火）,午前9時から午後4時
3429,いわき市,イベント情報,,四倉海水浴場,,37.10416964,140.9919751,平成28年5月16日(月)に開催された「第1回いわき市海水浴安全対策会議」において、今年度における市内海水浴場の開設について協議を行い、「安全対策面」、「環境衛生面」、「公共工事等の影響」等について検討し、総合的に判断した結果、平成28年度については「勿来海水浴場」及び「四倉海水浴場」を開設することに決定しました。<br><br>＜開設海水浴場＞<br>勿来海水浴場、四倉海水浴場<br><br>＜開設期間＞<br>平成28年7月16日（土）から8月16日（火）（32日間）<br><br>＜開設時間＞<br>午前9時から午後4時<br><br>＜お問い合わせ＞<br>観光交流室　観光事業課 <br>電話番号：0246-22-7480<br>ファクス番号：0246-22-7581,0246-22-7480,,,,,,
3430,いわき市,イベント情報,,永崎団地交流会,ながさきだんちこうりゅうかい,36.95014532,140.9296989,毎月第4月曜日の10時～12時に健康体操サロンを実施しております。<br>日頃の運動不足解消に、皆さんで楽しく一緒に運動しませんか？<br><br>日程　　（H28年）7/25、8/29、9/26、10/24、11/28、12/26<br>　　　　　（H29年）1/23、2/27、3/27<br><br>時間　　　10時～12時<br><br>場所　　　永崎団地集会所　※駐車場はありません。<br><br>参加費　　無料<br><br>持参物　　タオルと水分補給の準備<br><br>お問い合わせはこちらまで<br>いわき市社会福祉協議会（小名浜地区協議会）<br>0246-54-2111（小名浜支所代表）<br>内線5246、5247<br>,,970-0315,いわき市永崎字町田2番地の3,,,,
3431,いわき市,イベント情報,,久之浜東団地交流会,ひさのはまひがしだんちこうりゅうかい,37.14831217,140.9958851,久之浜東団地交流会を開催します！<br><br>日時　　　　　　平成28年7月26日（火）<br>　　　　　　　　13時30分～15時30分<br><br>場所　　　　　　久之浜東団地集会所<br><br>内容　　　　　　苔玉作り※限定20名<br><br>参加費　　　　　材料代として100円<br><br>持参物　　　　　はさみ、かぎ編み棒<br><br>お申込み期間　　7月11日～15日まで<br><br>お申込み・問い合わせ先　<br>いわき市社会福祉協議会<br>いわき市復興支援ボランティアセンター<br>0246-38-6631<br>,,979-0333,いわき市久之浜町久之浜字川田23,,,,
3432,いわき市,イベント情報,,四倉南団地交流会,よつくらみなみだんちこうりゅうかい,37.09895648,140.9751034,四倉南団地交流会を開催します！<br>皆さんでお茶を飲みながら交流を深めませんか？<br><br>日時　　平成28年度7月28日（木）<br>　　　　10時～11時30分<br><br>場所　　四倉南団地集会所<br><br>内容　　茶話会<br><br>参加費　無料<br><br>お問い合わせはこちらまで<br>いわき市社会福祉協議会<br>復興支援ボランティアセンター<br>0246-38-6631,,979-0202,いわき市四倉町上仁井田字矢ノ田10-2,,,,
3433,いわき市,イベント情報,,関田団地交流会,せきただんちこうりゅうかい,36.88004129,140.7884967,関田団地交流会を開催します！<br>音楽療法士によるギター生演奏他、懐かしのメロディーで癒されてみませんか？<br><br>日時　　平成28年8月6日（土）<br>　　　　10時～11時30分<br><br>場所　　関田団地集会所<br><br>参加費　無料<br><br>お問い合わせはこちらまで<br>いわき市社会福祉協議会<br>復興支援ボランティアセンター<br>0246-38-6631,,979-0146,いわき市勿来町関田飯ノ辺前3-3,,,,
3463,新地町,イベント情報,イベント情報,復興産業まつり,ふっこうさんぎょうまつり,37.87637124,140.919812,ふるさと復興産業まつりでは、役場前広場などを会場に、様々な芸能の披露や農産物・海産物・特産品の販売などが行われ、大勢の来場者でにぎわいます。,0244-62-2195,979-2792,新地町谷地小屋字樋掛田30,,20161113,1日間,
3541,二本松市,イベント情報,,二本松の夏祭り,にほんまつのなつまつり,37.58144769,140.4286194,夏本番！ということで、二本松でもこれから各地で夏祭りが目白押しです。<br><br>◎亀谷夏祭り　<br>　日時：８月６日（土）午後６時～<br>　会場：亀谷坂露伴亭にて<br>　住所：二本松市亀谷1丁目150-1 <br>　見どころ：キャンドルを使った立体アートの展示、屋台村、浪江焼そば『宝来軒』が特別出店、などなど。<br><br>◎郭内おらほの夏祭り　<br>　日時：８月７日（日）午後５時～<br>　会場：郭内ロータリー田中家具前駐車場にて<br>　住所：二本松市郭内１-４８<br>　見どころ：郭内若連による提灯祭りお囃子演奏、屋台村、子供花火大会、浪江焼そば移動屋台の特別出店、などなど。<br><br>◎本町夏まつり　<br>　日時：８月１１日（木）午後７時～<br>　会場：本町通りにて<br>　住所：二本松市本町1丁目61<br>　見どころ：路上ライブパフォーマンス（お笑い、トランペットなど）、屋台村、浪江町とのコラボ企画（浪江盆踊り大会）、子供向けゲーム、などなど<br><br>◎竹田の花市・根崎の花市　<br>　日時：８月１１日（木）～１２日（金）午後７時～<br>　会場：竹根通りにて<br>　住所：二本松市根崎1丁目7-1<br>　見どころ：ステージイベント（フラダンス、さる劇場など）、子供絵あんどん、お囃子演奏、屋台村、浪江町とのコラボ企画（舞扇会舞踊）、花市、などなど。<br><br>◎智恵子の里安達夏祭り<br>　日時：８月１２日（金）午後６時～<br>　会場：安達支所前駐車場にて<br>　住所：二本松市油井濡石1-2<br>　見どころ：大花火大会、屋台村、ステージイベント、花市、などなど。<br><br>◎いわしろ夏祭り<br>　日時：８月１３日（土）午後４時～<br>　会場：岩代第２体育館前駐車場にて<br>　住所：二本松市小浜字藤町368 <br>　見どころ：大花火大会、屋台村、大声コンテスト、歌謡ショー、抽選会、などなど。<br><br>◎岳温泉仮装盆踊り大会<br>　日時：８月２７日（土）～２８日（日）午後６時～<br>　会場：岳温泉ヒマラヤ大通りにて<br>　住所；二本松市岳温泉1丁目16<br>　見どころ：ヒマラヤ大通りを使った大盆踊り、ＹＯＳＡＫＯＩ演舞、浴衣コンテスト、などなど。,,,,,,,
3549,いわき市,イベント情報,,ゆながや夏まつり,ゆながやなつまつり,37.00480306,140.8400908,,いわき湯本温泉観光協会:0246-42-4322,,上湯長谷公園（いわき市常磐上湯長谷町湯台堂）,,,平成28年８月９日（火）,15時～21時
3550,いわき市,イベント情報,,第３回浜の夏祭り,,37.14765262,141.0017017,　地区サークル等の展示ＰＲ、地区内産の生産・加工品の物産販売の出展のほか、盆踊り及び花火大会を実施します。,久之浜町 浜Cafe 内:090-9537-5551（吉田様）,,久之浜漁港（いわき市久之浜町久之浜）,,,平成28年８月11日（木）,13時～20時30分
3551,いわき市,イベント情報,,フラのまちオンステージ～フラ女将と仲間たち～,,37.00906547,140.8461527,　フラのまち「いわき湯本温泉」ならではのフラ女将による「着物deフラ」と、地区のフラ教室の皆さんによるフラダンスのステージです。温泉地でフラな一時をお楽しみください！,「フラのまち宣言」推進委員会事務局(いわき市常磐支所市民課):0246-43-2111,,鶴の足湯広場（いわき市常磐湯本町三函）,,,平成28年８月11日（木）,20時～20時30分
3552,いわき市,イベント情報,,第62回いわき回転やぐら　前夜祭,,37.03570578,140.8553571,　常磐炭鉱の時代から続く内郷の夏の風物詩「いわき回転やぐら」。前夜祭では、渡辺俊美（TOKYO No.1 SOUL SET・猪苗代湖ズ）、凛音、アベマンセイ、Night Art、Seaside Sisters、アストロボンバーズ 、小沼寿恵等の見所満載の震災復興”絆”ステージをお楽しみください。,内郷商工会:0246-26-1256,,JR内郷駅前広場(いわき市内郷綴町榎下12),,,平成28年８月13日（土）,13時～21時
3553,いわき市,イベント情報,,第62回いわき回転やぐら盆踊り大会,,37.03568051,140.8554096,　常磐炭鉱の時代から続く内郷の夏の風物詩「いわき回転やぐら」。今年、回転櫓が29年振りに新しく生まれ変わります。<br>　14日は、内郷下綴青年会、宮小学校児童によるじゃんがら奉納、オープニングセレモニーのあと、17:30から全員で踊り始める「総踊り」が始まります。,内郷商工会:0246-26-1256,,JR内郷駅前広場(いわき市内郷綴町榎下12),,,平成28年８月14日（日）～15日（月）,16時～21時（15日は17時30分～21時）
3554,大熊町,イベント情報,,男塾(おとこじゅく),,37.48988897,139.9280065,内　　容：蒔絵（まきえ）体験(内容変更になる場合があります)<br>開催場所：おおくまサロンゆっくりすっぺ(大熊町役場会津若松出張所内)<br>対　　象：60歳以上の男性<br>定　　員：20人（先着順）<br>費　　用：500円<br>持 ち 物：汚れてもいい服装、水分<br>申込期限：8月12日(金)まで電話にて<br>問 合 せ：大熊町役場会津若松出張所<br>申し込み：福祉課健康介護係(渡辺・新田),0120-26-3844,965-0873,会津若松市追手町2-41,,20160819,,9:30～11:30
3555,いわき市,イベント情報,,海嶽寺盆踊り大会,,37.10490928,140.9822363,　盆踊りのほか、四倉アーカイブスによる昭和30年代のよつくらを上映します。15日はヨツクラムジカヘッズによる四倉音頭も実施します。,海嶽寺:0246-32-2751,,海嶽寺(いわき市四倉町梅ヶ丘119-１),,,平成28年８月14日（日）～15日（月）,18時～21時
